0,22695
1,22697
2,22699
3,22701
4,22703
5,22705
6,22707
7,22709
8,22711
9,22713
10,22715
11,22717
12,22719
13,22721
14,22723
15,22727
16,22729
17,22750
18,22751
19,22752
20,22753
21,22754
22,22760
23,22764
24,22765
25,22766
26,22767
27,22773
28,22774
29,22776
30,22777
31,22778
32,22779
33,22780
34,22781
35,22782
36,22783
37,22784
38,22785
39,22786
40,22787
41,23094
42,23550
43,23551
44,23552
45,23553
46,23554
47,23556
48,23557
49,23558
50,23559
51,23560
52,23561
53,23562
54,23563
55,23564
56,23565
57,23566
58,23568
59,23569
60,23570
61,23571
62,23572
63,23573
64,23582
65,23583
66,23584
67,23585
68,23586
69,23590
70,23591
71,23592
72,23593
73,23594
74,23595
75,23596
76,23601
77,23603
78,23604
79,23607
80,23608
81,23612
82,23613
83,23617
84,23618
85,23620
86,23621
87,23622
88,23623
89,23624
90,23874
91,23875
92,23877
93,23878
94,23879
95,23880
96,24215
97,24216
98,24217
99,24218
100,24219
101,24220
102,24221
103,24222
104,24223
105,24224
106,24225
107,24226
108,24227
109,24228
110,24229
111,24230
112,24526
113,24527
114,24528
115,24529
116,24530
117,24531
118,24584
119,24585
120,24586
121,24587
122,24588
123,24589
124,24590
125,24591
126,24674
127,24675
128,24676
129,24677
130,24678
131,24679
132,24680
133,24681
134,24683
135,24684
136,24685
137,24686
138,24687
139,24688
140,24689
141,24690
142,24691
143,24692
144,24693
145,24694
146,24695
147,24697
148,24698
149,24699
150,24700
151,24701
152,24702
153,24703
154,24704
155,24705
156,24706
157,24707
158,24708
159,24709
160,24711
161,24712
162,24713
163,24714
164,24715
165,24716
166,24717
167,24718
168,24719
169,24720
170,24721
171,24722
172,24723
173,24724
174,24725
175,24728
176,24729
177,24730
178,24731
179,24736
180,24737
181,24738
182,24739
183,24740
184,24741
185,24742
186,24744
187,24745
188,24746
189,24747
190,24748
191,24749
192,24758
193,24800
194,24801
195,24802
196,24875
197,24878
198,24879
199,24886
200,24902
