,1
10,"['글로벌리더트레이닝', '학생', '국제적경쟁', '영어구사', '어려움', '극복', '훈련', '교육', '실시', '글로벌', '리더', '양성', '목적', '자율', '그룹', '토론', '심화', '훈련', '교육', '실시', '글로벌', '리더', '트레이닝', '학생', '영어', '실력', '외국어', '과정', '학생', '듣기', '쓰기', '영어', '실력', '발전', '수준', '훈련', '발전', '기대', '과정', '학생', '단계', '자발', '책임', '학생', '출처', '분야', '선택', '주제', '토론', '구술', '프레젠테이션', '요청', '능력', '전략', '연습', '개발', '기회', '학생', '글쓰기', '워크숍', '형식', '진행']"
11,"['컨버전스시대', '창의', '생각', '경험', '부가', '필요', '디자인', '협업', '이해', '프로세스', '커뮤니케이션', '역할', '방법', '모색', '오픈이노베이션', '협력', '요구', '현대', '분석', '사고', '기반', '완벽', '숙련', '직관', '사고', '근거', '창조성', '조화', '분석', '직관', '가지', '사고방식', '조화', '노력', '중요', '통합', '사고방식', '디자인씽킹']"
12,"['모바일앱개발', '기술', '중요', '최신', '트랜드', '다양', '분야', '디지털', '광고', '결제', '기술', '빅데이터', '클라우드', '블록체인', '사업', '기술', '이해', '취업', '도움', '프로그래밍', '기초', '개념', '개발', '방법', '개략', '실습', '진행', '모바일광고', '결제', '커머스사업', '동향', '기술', '트랜드', '이해', '빅데이터', '클라우드', '개요', '이해', '블록체인', '개요', '이해', '객체지향언어프로그래밍', '개념', '자바', '프로그래밍', '기초', '이해', '모바일앱개발', '실습']"
13,"['특허', '분석', '사고', '타인', '이해', '효율', '커뮤니케이션', '협상', '사고', '조화', '수강', '특허', '출원', '통합', '사고', '기초', '디자인', '아이디어', '공대', '솔루션', '인문', '마켓', '고객', '우선', '담당', '교수', '특허', '변리사', '진행', '특허', '출원', '산학협력', '대학', '에리카', '캠퍼스', '특허', '경영', '역량', '강화', '특허', '정보', '공유', '대응', '운영', '다자간', '네트워크', '구축', '특허', '분석', '사고', '타인', '이해', '효율', '커뮤니케이션', '협상', '사고', '조화', '수강', '특허', '출원', '바탕', '미래', '시나리오', '예측', '기술', '가치', '판단', '원천', '기술', '특허', '출원', '수강', '특허', '획득', '특허', '출원', '아이디어', '디자인', '솔루션', '공학', '고객', '마켓', '인문', '학제간', '융합', '협업', '문제', '해결', '모색', '개인', '중심', '사회', '환경', '효율', '자기', '의사', '전달', '협상', '이해']"
14,"['산업시장', '경영', '전략', '이해', '경영전략', '결정', '요소', '전략', '결정', '기법', '전략', '대안', '수립', '방법', '지식', '습득', '실제', '경영전략', '실행프로세스', '현장', '경영', '실행', '방법', '경영전략', '개념', '방법', '기반', '실제', '사업', '기술', '아이디어', '사업', '개요', '사업', '추진', '방안', '창업', '컨설팅', '개요', '숙지', '실제', '사업', '프로세스', '전반', '실제', '실행', '감각', '사업', '아이템', '발굴', '구체', '사업계획서', '작성', '경험', '취업', '자기', '소개서', '스토리', '제공', '과정', '산업시장', '경영전략', '이해', '전략', '성공', '경영', '기술', '사업', '필요', '이론', '지식', '실제', '현장', '경영전략', '수립', '사업', '실행', '능력', '배양', '기술', '경영전략', '가지', '역량', '동시', '실전', '경영전략', '필요', '병행', '진행', '마케팅', '세분화', '선정', '위치', '행동심리분석', '실습', '이론', '정립', '경험', '격주', '시뮬레이션', '방식', '진행']"
15,"['실습', '교과', '아이디어', '구상', '설계', '개념', '시각', '입체감', '사물', '컴퓨터', '화면', '구현', '소프트웨어', '개념', '사용법', '지도', '자신', '작품', '구상', '아이디어', '구체', '2차원', '평면', '요소', '도형', '각종', '요소', '활용', '3차원', '입체', '부품', '제작', '제작', '부품', '조합', '전체', '모델', '구성', '부품', '간섭', '검사', '동작', '검토', '최적', '입체', '모델', '확인', '프린터', '활용', '제작', '실습', '단계', '진행', '실습', '교과', '설계', '교과', '학부', '컴퓨터', '활용', '모델', '설계', '기법', '소프트웨어', '사용법', '교육', '자신', '물체', '아이디어', '실제', '모델', '설계', '능력', '배양', '내용', '첨부', '계획', '참조', '실습', '특성', '대면', '진행']"
16,"['우리', '정보', '정보', '습득', '시간', '부족', '시각', '콘텐츠', '관심', '비주얼스토리텔링', '커뮤니케이션', '수단', '커뮤니케이션', '관점', '비주얼스토리텔링', '정보', '분석', '이성', '이해', '시각', '요소', '한편', '스토리', '의미', '콘텐츠', '기술', '사고', '혁신', '급변', '창의', '사고', '도움', '비주얼', '스토리', '개념', '해석', '사례', '비주얼', '능력', '스토리', '함축', '능력', '사물', '사안', '통찰력', '배양', '개용', '설명', '사물', '사안', '이해', '해석', '통찰력', '창의', '사고', '발현', '역량', '함양', '비주얼스토리텔링', '이해', '필요', '이론', '개념', '다양', '분야', '실무', '현장', '사례', '이론', '실무', '차원', '수강', '태도', '성실', '요구', '성과', '취득', '산출', '기말', '실시', '산출', '방식', '구체', '방법', '하단', '배점', '비율', '참고']"
17,"['정부', '국가직무능력표준', '국가직무능력표준NCS', '기반', '교육', '훈련', '직업훈련', '기관', '폴리', '전문', '대학', '중심', '교육', '과정', '편성', '운영', '기반', '마련', '국가직무능력표준', '기반', '능력', '중심', '채용', '정책', '공기업', '사기업', '채용', '방식', '변화', '시작', '확산', '공기업', '채용', '방식', '국가직무능력표준', '도입', '국가직무능력표준', '개념', '국가직무능력표준', '직무수행능력', '직업', '기초', '능력', '이해', '활용', '교육', '과정', '필요', '신정부', '추진', '블라인드', '채용', '방식', '도입', '국가직무능력표준NCS', '직무역량', '채용', '중요', '강좌', '공기업', '국가직무능력표준', '기반', '채용', '기업', '취업', '희망', '학부생', '대상', '체계', '직무역량', '내용', '전달', '직업', '요구', '역량', '진단', '역량', '개발', '방안', '적용', '사례', '취업역량', '제고', '역량', '중심', '채용', '방법', '도입', '공기업', '기업', '채용', '사례', '중심', '직무역량', '기반', '채용', '방법', '변화', '직무역량', '기반', '입사', '서류', '작성', '준비', '직무수행능력', '직업', '기초', '능력', '정보', '직무', '심층', '면접', '방식', '변화', '내용', '실질', '취업', '준비', '도움', '세계', '경기', '불황', '한국', '경제', '경기', '침체', '저성장', '청년', '취업', '대학생', '고민', '거리', '정부', '추진', '국가직무능력표준NCS', '국가직무능력표준', '기반', '능력', '중심', '채용', '정책', '공기업', '사기업', '적용', '실시', '국가직무능력표준', '개념', '직무수행능력', '직업', '기초', '능력', '정보', '제공', '기업', '요구', '직업', '요구', '역량', '이해', '현재', '직업', '능력', '수준', '진단', '강점', '약점', '분석', '취업역량', '제고', '방안', '수립', '입사', '지원', '서류', '작성', '인적', '국가직무능력표준', '직무', '능력', '필기', '준비', '면접', '공기업', '취업역량', '배양', '과정', '목적', '국가직무능력표준', '핵심', '정보', '제공', '공기업', '입사', '준비', '서류', '작성', '직무역량', '면접', '역량', '취업', '준비', '실질', '도움', '취업', '준비', '역량', '진단', '본인', '강점', '약점', '도출', '기업', '채용', '실무자', '외부', '컨설턴트', '취업', '선배', '실질', '멘토링', '기회', '제공', '역량', '개발', '계획', '수립', '실천', '기업', '핵심역량', '중심', '채용', '정보', '제공', '개별', '입사', '지원', '서류', '작성', '면접', '클리닉', '서비스', '제공', '실질', '취업', '역량', '향상', '도움']"
18,"['컴퓨터언어', '소프트웨어', '도구', '최적', '컴퓨터', '구조', '이해', '필요', '컴퓨터구조', '명령어', '세트', '레지스터', '기능', '블록', '구성', '내부', '구조', '메모리', '버스', '구성', '시스템', '구조', '포괄', '컴퓨터', '구성', '메모리', '입출력', '장치', '제어부', '소프트웨어학부', '컴퓨터', '구조', '이해', '범위', '설명', '단일', '시스템', '범위', '컴퓨터시스템', '하드웨어', '구성', '동작원리', '기초', '하향식', '접근', '방법', '중점', '내용', '명령문', '사이클', '메모리', '접속', '회로', '캐시', '메모리', '구성', '입출력', '기법', '동작원리', '마이크', '프로그램', '방식', '제어', '장치', '원리', '구현', '방식', '명령', '축소', '컴퓨터', '구성', '특성', '진행', '방식', '변경', '이론', '진행', '중간고사', '단원', '진행', '중간고사', '대면시험', '교내', '진행', '수강', '학생', '단계', '설명', '캐시', '메모리', '메인', '메모리', '사이', '상호', '작용', '그림', '설명', '제어', '장치', '구성', '동작', '그림', '설명']"
19,"['데이터', '효율', '저장', '검색', '변경', '유지', '시스템', '데이터베이스', '스테이', '개념', '설계', '기법', '구현', '방법', '기초', '개념', '이론', '공부', '모델', '방법', '관계', '데이터베이스', '기초', '이론', '관계', '대수', '데이터베이스', '질의어', '데이터베이스', '기반', '최신', '정보', '시스템', '구축', '이론', '습득', '최종', '이론', '내용', '실습', '데이터관리', '시스템', '이해', '데이터베이스', '시스템', '이해', '데이터베이스', '언어', '이해', '최신', '정보', '시스템', '이해']"
