,과목번호,과목명,교수명,수업코드,평점
121,124,IC-PBL과비전설계,조현의,24590,0.00
122,125,IC-PBL과비전설계,최인경,24591,0.00
123,126,확률론,권보경,24674,0.00
124,127,선형대수,마상백,24675,3.93
125,128,오토마타와형식언어론,김태형,24676,3.29
126,129,자료구조론,김정선,24677,4.13
127,130,자료구조론,김정선,24678,4.13
128,131,컴퓨터공학연구실심화실습1,김영훈,24679,0.00
129,133,컴퓨터공학연구실심화실습1,도경구,24681,0.00
130,134,컴퓨터공학연구실심화실습1,박성주,24683,0.00
131,135,컴퓨터공학연구실심화실습1,이석복,24684,0.00
132,136,컴퓨터공학연구실심화실습1,윤종원,24685,0.00
133,137,컴퓨터공학연구실심화실습1,이동호,24686,0.00
134,138,컴퓨터공학연구실심화실습1,이연준,24687,0.00
135,139,컴퓨터공학연구실심화실습1,이우석,24688,5.00
136,140,컴퓨터공학연구실심화실습1,조성현,24689,0.00
137,141,컴퓨터공학연구실심화실습1,Scott Uk-Jin Lee,24690,0.00
138,142,컴퓨터네트워크,이석복,24691,4.39
139,143,컴퓨터구조,박성주,24692,4.00
140,144,컴퓨터공학연구실심화실습3,김영훈,24693,0.00
141,145,컴퓨터공학연구실심화실습3,김정선,24694,0.00
142,146,컴퓨터공학연구실심화실습3,도경구,24695,0.00
143,147,컴퓨터공학연구실심화실습3,박성주,24697,0.00
144,148,컴퓨터공학연구실심화실습3,윤종원,24698,0.00
145,150,컴퓨터공학연구실심화실습3,이연준,24700,0.00
146,151,컴퓨터공학연구실심화실습3,이우석,24701,0.00
147,152,컴퓨터공학연구실심화실습3,조성현,24702,0.00
148,153,컴퓨터공학연구실심화실습3,Scott Uk-Jin Lee,24703,0.00
149,154,컴퓨터공학연구실심화실습3,이동호,24704,0.00
150,155,컴퓨터캡스톤디자인2(종합),김영훈,24705,0.00
151,156,컴퓨터캡스톤디자인2(종합),김정선,24706,0.00
152,157,컴퓨터캡스톤디자인2(종합),김태형,24707,0.00
153,158,컴퓨터캡스톤디자인2(종합),도경구,24708,0.00
154,159,컴퓨터캡스톤디자인2(종합),마상백,24709,0.00
155,160,컴퓨터캡스톤디자인2(종합),박성주,24711,0.00
156,161,컴퓨터캡스톤디자인2(종합),오희국,24712,5.00
157,162,컴퓨터캡스톤디자인2(종합),윤종원,24713,0.00
158,163,컴퓨터캡스톤디자인2(종합),이동호,24714,0.00
159,164,컴퓨터캡스톤디자인2(종합),이석복,24715,0.00
160,165,컴퓨터캡스톤디자인2(종합),이연준,24716,0.00
161,166,컴퓨터캡스톤디자인2(종합),이우석,24717,0.00
162,167,컴퓨터캡스톤디자인2(종합),조성현,24718,0.00
163,168,컴퓨터캡스톤디자인2(종합),Scott Uk-Jin Lee,24719,0.00
164,169,HCI연구실심화실습1,김기범,24720,0.00
165,170,HCI연구실심화실습1,김정룡,24721,0.00
166,171,HCI연구실심화실습1,윤종영,24722,0.00
167,172,HCI연구실심화실습1,이경렬,24723,0.00
168,173,HCI연구실심화실습1,조용우,24724,0.00
169,174,HCI연구실심화실습1,조현의,24725,0.00
170,176,창의캡스톤디자인1,이경렬,24729,0.00
171,177,창의캡스톤디자인1,조용우,24730,0.00
172,178,창의캡스톤디자인1,조현의,24731,0.00
173,179,HCI연구실심화실습3,고민삼,24736,0.00
174,180,HCI연구실심화실습3,김기범,24737,0.00
175,181,HCI연구실심화실습3,김정룡,24738,0.00
176,183,HCI연구실심화실습3,이경렬,24740,0.00
177,184,HCI연구실심화실습3,조용우,24741,0.00
178,185,HCI연구실심화실습3,조현의,24742,0.00
179,186,ICT융합캡스톤디자인1,경규형,24744,0.00
180,187,ICT융합캡스톤디자인1,고민삼,24745,0.00
181,190,ICT융합캡스톤디자인1,조용우,24748,0.00
182,191,ICT융합캡스톤디자인1,조현의,24749,0.00
183,192,뮤직테크놀로지,조현의,24758,4.00
184,193,시스템프로그래밍,최원일,24800,0.00
185,194,운영체제론,오희국,24801,1.70
186,195,운영체제론,오희국,24802,1.70
187,196,디지탈논리설계,윤종원,24875,3.67
188,197,IC-PBL과비전설계,강경태,24878,0.00
189,198,IC-PBL과비전설계,이동호,24879,5.00
190,199,컴퓨터캡스톤디자인2(종합),은하수,24886,0.00
191,200,일반물리학실험1,정희준,24902,3.73
192,201,AI+X:인공지능,류호경,20002,4.00
193,202,AI+X:딥러닝,원영준,20003,4.40
194,203,AI+X:R-Py컴퓨팅,이정환,20004,3.33
195,204,AI+X:머신러닝,박태준,20005,4.71
196,205,실용중국어,김령령,20013,0.00
197,206,실용중국어,김령령,20014,0.00
198,207,실용중국어,김령령,20015,0.00
199,208,6시그마GB(클러스터),이용건,20016,3.83
200,209,디자인과혁신(클러스터),김주연,20017,0.00
201,210,품질인증및시험·평가기술의이해(클러스터),윤상욱,20018,2.57
202,211,글로벌리더트레이닝2(클러스터),황주현,20019,4.75
203,212,디자인싱킹(클러스터),이여운,20020,4.80
204,213,누구나할수있는스마트폰앱만들기(클러스터),박종훈,20021,3.60
205,214,특허와협상1(클러스터),박수조,20022,5.00
206,215,IT경영및사업화(클러스터),임재준,20023,4.88
207,216,창의구현3D모델링기초실습(클러스터),박종용,20024,3.92
208,218,NCS기반채용의이해와직업요구역량(클러스터),채원중,20026,2.69
209,219,그림으로배우는컴퓨터구조기초(클러스터),은하수,20027,3.29
210,220,데이터베이스기초(클러스터),이동호,20028,5.00
211,221,전산통계학기초(클러스터),최성원,20030,1.25
212,222,말과문화,곽도연,20032,4.33
213,223,글과삶,백경선,20033,3.29
214,224,현대음악의이해,김경화,20034,4.40
215,225,교양타악실기,윤명화,20035,4.53
216,226,법의이해,조재영,20036,4.15
217,227,생활속의물리학,지웅배,20037,0.00
218,228,지구의역사,석동우,20038,3.82
219,229,교양댄스스포츠,김지영,20040,4.83
220,230,교양댄스스포츠,신동찬,20041,3.00
221,231,교양골프,김태원,20042,4.91
222,232,교양골프,김태원,20043,4.91
223,233,스크린영어,이태형,20044,4.47
224,234,회계정보의활용,김종현,20045,5.00
225,235,교양윈드써핑,김영규,20046,4.57
226,236,교양구급법,이우진,20047,3.83
227,237,교양축구,이용현,20048,0.00
228,238,교양축구,이용현,20049,0.00
229,239,교양테니스,남상걸,20050,4.96
230,240,교양테니스,송영훈,20051,0.00
231,241,교양배드민턴,양도업,20052,0.00
232,242,교양배드민턴,양도업,20053,0.00
233,243,디자인과생활,하미정,20054,4.37
234,244,고전음악의이해,김경화,20055,4.50
235,245,기업가정신과리더십,한창수,20056,4.00
236,246,창업과지적재산권,이희종,20057,4.94
237,247,창업아이디어개발,정영천,20058,3.11
238,248,한국어강좌,권우진,20059,0.00
239,249,기계비평,오영진,20060,4.02
240,250,글로벌마케팅조사와창업기회,정영천,20061,3.33
241,251,10만원창업프로젝트,김재영,20062,2.64
242,252,기업분석과취창업전략,유제흥,20063,4.81
243,253,스타트업초청강연,박종용,20064,4.01
244,254,창업경영시뮬레이션,이철형,20065,0.00
245,255,4차산업혁명과고전읽기,김성신,20066,4.32
246,256,명사들의고전읽기,오영진,20067,3.13
247,257,보이스앙상블,한웅희,20068,4.86
248,258,스무살의행복한나의인생디자인,이인식,20069,4.33
249,259,동양의눈으로본문명교류사,박성준,20070,4.56
250,260,사랑의역사:사랑에관한철학적성찰,김양희,20071,4.33
251,261,사이버토익,강현숙,20072,3.00
252,262,영어커뮤니케이션1-초급,이주영,20073,1.00
253,265,영어커뮤니케이션2-초급,Craig H. Kerschner,20076,3.20
254,266,영어커뮤니케이션2-중급,Craig H. Kerschner,20077,3.67
255,267,영어커뮤니케이션2-고급,Craig H. Kerschner,20078,5.00
256,268,초급스페인어,전수진,20088,0.00
257,269,고급영어회화,국지연,20089,4.17
258,270,한국근현대사,박성준,20090,4.33
259,271,문화와디자인,김진주,20091,4.50
260,272,기초미분적분학,김수현,20093,0.00
261,273,기초물리학,지웅배,20094,0.00
262,274,고급컴퓨터활용,김태환,20095,2.80
263,275,고급컴퓨터활용,김태환,20096,2.80
264,276,컴퓨터그래픽응용,백대은,20097,4.02
265,277,컴퓨터그래픽응용,백대은,20098,4.02
266,278,글로벌이슈,한승훈,20100,1.50
267,279,초우량기업의조건,전상길,20101,4.55
268,281,과학기술의철학적이해,오영진,20103,3.95
269,282,생활무용,현혜선,20104,5.00
270,283,소설과현대사회,김혜선,20105,4.44
271,284,한류와한국문화,이광복,20106,0.00
272,285,취업실전면접,김치성,20107,4.85
273,286,생활속의화학,김민경,20108,4.71
274,288,웹퍼블리싱,최병규,20110,4.00
275,289,컴퓨팅과데이터처리,김종익,20111,4.45
276,290,나를좋아하게하는커뮤니케이션,김지아,20112,4.82
277,292,창의적영어읽기-중급,한승훈,20114,2.00
278,294,독립영화의이해,조용현,20116,4.40
279,295,테크놀로지와예술&미디어,김효은,20117,4.41
280,296,데이터분석과시각화,김종익,20118,4.17
281,297,드론SW제작,조상욱,20119,2.33
282,298,안드로이드앱프로그래밍,최병규,20120,4.62
283,299,웹서비스구축,최병규,20121,3.57
284,300,특허로취업하기(클러스터),박종훈,20122,0.00
285,301,블록체인:혁명의시작(클러스터),김용욱,20123,4.74
286,302,레고세트를이용한창의설계,김승희,20124,4.64
287,303,4차산업혁명에서의윤리,김상연,20125,3.96
288,304,영어로만나는YouTube,오세풍,20126,4.29
289,305,4차산업혁명과미래직업(클러스터),박수진,20127,4.33
290,306,K-POP댄스,이진주,20129,5.00
291,307,미생물과인간,양철수,20130,3.25
292,308,영화속디자인이야기,연혜란,20131,4.00
293,309,나를찾는미술치료,장명옥,20132,4.52
294,310,교양요가및필라테스,조은정,20133,3.60
295,311,교양요가및필라테스,김정미,20134,4.63
